,player_name,User_Name,Screen_Name,Tweet_created,Retweeted,Favourited,Location,Time_Zone,Geo,Text,Favourites_Count,Friends_Count,Followers_Count,Retweet_Count,Hashtags,URL
138,Cesc Fabregas,Angkrish Chhabria,AngkrishC,2018-04-22 14:48:50,False,False,,None,None,Is it just me or Costa leaving has affected Fabregas the most. He can't make those trade mark passes which were so… https://t.co/424jYFnrvQ,1337,389,162,493,None,"[{'url': 'https://t.co/424jYFnrvQ', 'expanded_url': 'https://twitter.com/i/web/status/988067108704501765', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]"
139,Cesc Fabregas,Fredrik Nylund,fredomdet,2018-04-22 14:12:15,False,False,,None,None,"Can #Fàbregas find that cutting edge pass against a very low defense? #CFC
#CHESOU #FACup",17890,262,201,10543,Fàbregas,[]
140,Cesc Fabregas,The Kitman ???,TheKitmanUK,2018-04-22 07:30:21,False,False,"Bristol, England",London,None,"Checkout this Arsenal Home Shirt 2008-10 Fabregas (Medium Mens) - https://t.co/X5MCBAbJyN 

#2008/10 #Arsenal… https://t.co/xAs0KXj6ci",11548,5001,2697,30138,Arsenal,"[{'url': 'https://t.co/X5MCBAbJyN', 'expanded_url': 'http://tinyurl.com/y8vy2f46', 'display_url': 'tinyurl.com/y8vy2f46', 'indices': [66, 89]}, {'url': 'https://t.co/xAs0KXj6ci', 'expanded_url': 'https://twitter.com/i/web/status/987956761188536322', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [111, 134]}]"
141,Tiemoue Bakayoko,BLANCHARD,loblanchard13,2018-04-22 22:25:31,False,False,Vaucluse,None,None,RT @JeanLombardozzi: La Une de @laprovence des Sports ce lundi 23 avril 2018 #OM @orangevelodrome complet pour #OM #Salzbourg en @LigueEuro…,803,260,739,3076,OM,[]
142,Tiemoue Bakayoko,Quentin Gil,GILQuentin1,2018-04-22 21:53:32,False,False,France,Paris,None,RT @JeanLombardozzi: La Une de @laprovence des Sports ce lundi 23 avril 2018 #OM @orangevelodrome complet pour #OM #Salzbourg en @LigueEuro…,10,453,146,2099,OM,[]
143,Tiemoue Bakayoko,OMarseglia,OMarseglia13,2018-04-22 21:29:30,False,False,"Marseille, France",Paris,None,RT @JeanLombardozzi: La Une de @laprovence des Sports ce lundi 23 avril 2018 #OM @orangevelodrome complet pour #OM #Salzbourg en @LigueEuro…,3558,616,126,2642,OM,[]
144,Tiemoue Bakayoko,Michael,Michom15,2018-04-22 20:22:44,False,False,,Brussels,None,RT @JeanLombardozzi: La Une de @laprovence des Sports ce lundi 23 avril 2018 #OM @orangevelodrome complet pour #OM #Salzbourg en @LigueEuro…,1434,365,38,1312,OM,[]
145,Tiemoue Bakayoko,Alexomile,alexomile,2018-04-22 20:18:08,False,False,Marseille,Paris,None,RT @JeanLombardozzi: La Une de @laprovence des Sports ce lundi 23 avril 2018 #OM @orangevelodrome complet pour #OM #Salzbourg en @LigueEuro…,4,126,572,41464,OM,[]
146,Tiemoue Bakayoko,Adrien,Marseillais3_1,2018-04-22 19:54:06,False,False,"Nord, Nord-Pas-de-Calais",Pacific Time (US & Canada),None,RT @JeanLombardozzi: La Une de @laprovence des Sports ce lundi 23 avril 2018 #OM @orangevelodrome complet pour #OM #Salzbourg en @LigueEuro…,54,181,12,75,OM,[]
147,Tiemoue Bakayoko,olympienne13,vanessahidalg13,2018-04-22 19:53:57,False,False,"Tourlaville, France",None,None,RT @JeanLombardozzi: La Une de @laprovence des Sports ce lundi 23 avril 2018 #OM @orangevelodrome complet pour #OM #Salzbourg en @LigueEuro…,2897,956,68,2782,OM,[]
148,Tiemoue Bakayoko,Pastaga,PastagaDST,2018-04-22 19:52:28,False,False,Marseille,Paris,None,RT @JeanLombardozzi: La Une de @laprovence des Sports ce lundi 23 avril 2018 #OM @orangevelodrome complet pour #OM #Salzbourg en @LigueEuro…,9986,489,860,33234,OM,[]
149,Tiemoue Bakayoko,Alexandre Jacquin,AJac13,2018-04-22 19:51:18,False,False,Marseille,Paris,None,RT @JeanLombardozzi: La Une de @laprovence des Sports ce lundi 23 avril 2018 #OM @orangevelodrome complet pour #OM #Salzbourg en @LigueEuro…,6060,834,13261,9727,OM,[]
150,Tiemoue Bakayoko,DIASSS,Diasss_13,2018-04-22 19:42:33,False,False,Virage Sud ,None,None,RT @JeanLombardozzi: La Une de @laprovence des Sports ce lundi 23 avril 2018 #OM @orangevelodrome complet pour #OM #Salzbourg en @LigueEuro…,20807,363,693,17766,OM,[]
151,Tiemoue Bakayoko,#TeamOM,JrmyAh,2018-04-22 19:41:44,False,False,"Marseille, France",London,None,RT @JeanLombardozzi: La Une de @laprovence des Sports ce lundi 23 avril 2018 #OM @orangevelodrome complet pour #OM #Salzbourg en @LigueEuro…,26980,341,734,52872,OM,[]
152,Tiemoue Bakayoko,Pattyn,PattynPatrick13,2018-04-22 19:37:43,False,False,"Marseille, France",None,None,RT @JeanLombardozzi: La Une de @laprovence des Sports ce lundi 23 avril 2018 #OM @orangevelodrome complet pour #OM #Salzbourg en @LigueEuro…,6346,756,428,4869,OM,[]
153,Tiemoue Bakayoko,Jérémy Tordjman,Jay_Tordjman,2018-04-22 19:36:09,False,False,"Marseille, et ailleurs...",Pacific Time (US & Canada),None,RT @JeanLombardozzi: La Une de @laprovence des Sports ce lundi 23 avril 2018 #OM @orangevelodrome complet pour #OM #Salzbourg en @LigueEuro…,338,721,4648,7606,OM,[]
154,Tiemoue Bakayoko,Jean Lombardozzi,JeanLombardozzi,2018-04-22 19:34:46,False,False,Marseille,None,None,La Une de @laprovence des Sports ce lundi 23 avril 2018 #OM @orangevelodrome complet pour #OM #Salzbourg en… https://t.co/VpZ1degXKM,86,78,775,1509,OM,"[{'url': 'https://t.co/VpZ1degXKM', 'expanded_url': 'https://twitter.com/i/web/status/988139065592700934', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [109, 132]}]"
155,Tiemoue Bakayoko,WAHOME,wahome__,2018-04-22 18:52:58,False,False,Kenya,None,None,"Bakayoko has improved !!!??
Next year he'll be better than fabregas.
#Bakayoko",2391,1174,1531,823,Bakayoko,[]
156,Tiemoue Bakayoko,Ricky nelly,Rickkynelly,2018-04-22 18:50:23,False,False,Abuja Nigeria,None,None,"Seems like #Willian was not angry for being substituted, he just couldn't believe a whack player like #Bakayoko was… https://t.co/OM4Esj6zWD",7668,592,141,990,Willian,"[{'url': 'https://t.co/OM4Esj6zWD', 'expanded_url': 'https://twitter.com/i/web/status/988127895964016644', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]"
157,Tiemoue Bakayoko,Tzar,Tzarrahlapane,2018-04-22 17:19:32,False,False,Tshwane,None,None,@ChelseaFC Sell #Bakayoko and sign #Nzonzi,642,412,85,1243,Bakayoko,[]
158,Tiemoue Bakayoko,Excelsior! ?  ?,PhilPlanter,2018-04-22 15:44:33,False,False,Galt's Gulch,Quito,None,"#Bakayoko makes the simple things seem excruciatingly difficult! 
#CHESOU",743,2952,1074,8896,Bakayoko,[]
159,Tiemoue Bakayoko,Sohaib Khan,KhanGaming_,2018-04-22 15:29:42,False,False,,Casablanca,None,What does #Bakayoko bring??,2712,63,231,1907,Bakayoko,[]
160,Tiemoue Bakayoko,Mark Johnson,majohnsonesq,2018-04-22 15:27:24,False,False,Here,America/New_York,None,RT @PhilPlanter: #Conte substitutes #Willian for #Bakayoko. Is he serious? This move makes no sense! Bakayoko adds no value to the Chelsea…,173,85,22,360,Conte,[]
161,Gary Cahill,Laurenz Vescoli,Laus1507,2018-04-22 21:55:26,False,False,"Innsbruck, Austria",Belgrade,None,"Strong against Austin in the air and no mistake that I can think of in build up play.

#cfc #Cahill #chesou #FACup",3571,481,1470,4682,cfc,[]
162,Gary Cahill,AW,agmow2012,2018-04-22 09:35:09,False,False,"London, England",Amsterdam,None,@OTD_PL @therealstevenpi @ManUtd @Everton @lesroberts77 @benbluenose79 Love that team #efc #cahill #moyesboys #jela #pienaar,740,329,28,2106,efc,[]
163,Gary Cahill,Kimberly,candypie22,2018-04-22 01:24:30,False,False,Asgard,None,None,RT @GyspsyLoveserie: @candypie22 @LethalWeaponHub @MMauuud @LethalWeaponFOX @JordanaBrewster @ClayneCrawford @LethalWriters Yes. We need mo…,139981,3663,2512,195823,None,[]
164,Gary Cahill,Kimberly,candypie22,2018-04-22 01:24:13,False,False,Asgard,None,None,RT @GyspsyLoveserie: @Mizcrea @candypie22 @LethalWeaponHub @MMauuud @LethalWeaponFOX @JordanaBrewster @ClayneCrawford @LethalWriters it is…,139981,3663,2512,195823,None,[]
165,Gary Cahill,Laurenz Vescoli,Laus1507,2018-04-22 21:55:26,False,False,"Innsbruck, Austria",Belgrade,None,"Strong against Austin in the air and no mistake that I can think of in build up play.

#cfc #Cahill #chesou #FACup",3571,481,1470,4682,cfc,[]
166,Gary Cahill,AW,agmow2012,2018-04-22 09:35:09,False,False,"London, England",Amsterdam,None,@OTD_PL @therealstevenpi @ManUtd @Everton @lesroberts77 @benbluenose79 Love that team #efc #cahill #moyesboys #jela #pienaar,740,329,28,2106,efc,[]
167,Gary Cahill,Kimberly,candypie22,2018-04-22 01:24:30,False,False,Asgard,None,None,RT @GyspsyLoveserie: @candypie22 @LethalWeaponHub @MMauuud @LethalWeaponFOX @JordanaBrewster @ClayneCrawford @LethalWriters Yes. We need mo…,139981,3663,2512,195823,None,[]
168,Gary Cahill,Kimberly,candypie22,2018-04-22 01:24:13,False,False,Asgard,None,None,RT @GyspsyLoveserie: @Mizcrea @candypie22 @LethalWeaponHub @MMauuud @LethalWeaponFOX @JordanaBrewster @ClayneCrawford @LethalWriters it is…,139981,3663,2512,195823,None,[]
